,content
141,"Team @Syringe_Cinema Wishes Everyone a #happymuharram ✨

1st Single Announcement soon

A #Varnam Musical 🎼🥁

@MrKarthiKKG @IamHebahPatel #KSV  @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital https://t.co/jD6lhwIX8Y"
142,@Arjunsurya_143 @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital Noooo😬
143,@akarsh_26 @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital Em chstunav yeparam start chseva 😁
144,@Arjunsurya_143 @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital https://t.co/MViLcbc5YX
145,@akarsh_26 @Syringe_Cinema @MrKarthiKKG @IamHebahPatel @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital Avna ok annai
146,"Team @Syringe_Cinema Wishes Everyone a #happymuharram ✨

𝐅𝐢𝐫𝐬𝐭 𝐒𝐢𝐧𝐠𝐥𝐞 𝐀𝐧𝐧𝐨𝐮𝐧𝐜𝐞𝐦𝐞𝐧𝐭 𝐒𝐨𝐨𝐧 !

A #Varnam Musical 🎼🥁

@MrKarthiKKG @IamHebahPatel #KSV  @Viplove_species @jk_dr @ItsActorNaresh @LokeshPavithra @VrMadhuPr @_HiDigital https://t.co/wNcebcrLWv"
147,"The Hottest Coffee along with the cookies will be served very soon by Our #Telisinavaallu 
Introducing @MrKarthiKKG As 𝐇𝐞𝐦𝐚𝐧𝐭𝐡 Into the World !

@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh  @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital https://t.co/yHqWCMSaP4"
148,"First Look of Ram Karthik's 'Telisinavaallu' unveiled https://t.co/7DDj5xz4mU 
#telisinavallu Introducing @MrKarthiKKG As 𝐇𝐞𝐦𝐚𝐧𝐭𝐡 Into the World !
@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh  @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital"
149,"The Hottest Coffee along with the cookies will be served very soon by Our #Telisinavaallu 
Introducing @MrKarthiKKG As 𝐇𝐞𝐦𝐚𝐧𝐭𝐡 Into the World !

@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh  @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital https://t.co/4CRkxJ5JhZ"
150,@Syringe_Cinema @MilagroMovies @MrKarthiKKG @Viplove_species @IamHebahPatel @ItsActorNaresh @jk_dr @VrMadhuPr @_HiDigital 𝐒𝐔𝐏𝐑𝐄𝐌𝐄
151,@IamEluruSreenu @MrKarthiKKG @Syringe_Cinema @Viplove_species @IamHebahPatel @ItsActorNaresh @jk_dr @VrMadhuPr @_HiDigital Enti mari #Pushpa time eppudu
152,"The Hottest Coffee along with the cookies will be served very soon by Our #Telisinavaallu 
Introducing @MrKarthiKKG As 𝐇𝐞𝐦𝐚𝐧𝐭𝐡 Into the World !

@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh  @jk_dr #DeepakVenugopalan @VrMadhuPr https://t.co/DsdrV1Lt2J"
153,@ihebahp @MrKarthiKKG @Syringe_Cinema @Viplove_species @ItsActorNaresh @LokeshPavithra @jk_dr @VrMadhuPr @_HiDigital Hindi likha Karo
154,"First Look Of @MrKarthiKKG from #Telisinavaallu Will Be Releasing on August 2nd  at 11:07 AM

Stay tuned !

@Syringe_Cinema @Viplove_species #KSV  @ItsActorNaresh @LokeshPavithra @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital https://t.co/Yqe4tuntKB"
155,"First Look Of @MrKarthiKKG from #Telisinavaallu Will Be Releasing on August 2nd  at 11:07 AM

@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh @LokeshPavithra @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital https://t.co/gmJHFx3DFg"
156,"First Look Of @MrKarthiKKG from #Telisinavaallu Will Be Releasing on August 2nd  at 11:07 AM

@Viplove_species #KSV @IamHebahPatel @ItsActorNaresh @LokeshPavithra @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital https://t.co/z185fodgv7"
157,"First Look Of @MrKarthiKKG from #Telisinavaallu Will Be Releasing on August 2nd  at 11:07 AM !!

@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh @LokeshPavithra @jk_dr #DeepakVenugopalan @VrMadhuPr @_HiDigital https://t.co/nuvN5kXwG0"
158,"First Look Of @MrKarthiKKG from #Telisinavaallu Will Be Releasing on August 2nd  at 11:07 AM

@Syringe_Cinema @Viplove_species #KSV @IamHebahPatel @ItsActorNaresh @LokeshPavithra @jk_dr #DeepakVenugopalan @VrMadhuPr https://t.co/uNd8n4M7sx"
